,zmean,zmax,zmin,area,slope,lat,icecap
RGI60-08.03170,1352.001220703125,1456.8306,1237.0663,0.196,"0    16.8
Name: Slope, dtype: object",69.023,0
RGI60-08.03171,1203.164794921875,1503.564,776.1104,0.196,"0    30.1
Name: Slope, dtype: object",69.042,0
RGI60-08.03172,953.271484375,1452.8816,735.2294,0.202,"0    25.6
Name: Slope, dtype: object",69.054,0
RGI60-08.03173,711.3496704101562,944.35297,603.3788,0.11,"0    20.4
Name: Slope, dtype: object",69.043,0
RGI60-08.03174,1183.228515625,1429.2648,722.6685,0.239,"0    29.8
Name: Slope, dtype: object",69.123,0
RGI60-08.03175,1050.011474609375,1317.0364,636.01886,0.79,"0    20.9
Name: Slope, dtype: object",69.181,0
RGI60-08.03176,1129.576171875,1374.5504,786.96906,0.562,"0    16.9
Name: Slope, dtype: object",69.047,0
RGI60-08.03177,1113.435791015625,1376.9358,1001.9348,0.228,"0    15.4
Name: Slope, dtype: object",69.199,0
RGI60-08.03178,1059.9617919921875,1376.6775,602.14166,0.997,"0    21.4
Name: Slope, dtype: object",69.187,0
RGI60-08.03179,1085.9130859375,1476.6458,632.1586,0.488,"0    34.2
Name: Slope, dtype: object",69.171,0
RGI60-08.03180,1170.205322265625,1400.3334,1023.5294,0.529,"0    21.1
Name: Slope, dtype: object",68.992,0
RGI60-08.03181,1419.2188720703125,1714.555,969.1457,0.403,"0    33.4
Name: Slope, dtype: object",69.483,0
RGI60-08.03182,1353.3331298828125,1521.3976,1149.0239,0.127,"0    26
Name: Slope, dtype: object",69.432,0
RGI60-08.03183,1164.9534912109375,1607.6819,868.84454,0.274,"0    23.3
Name: Slope, dtype: object",69.502,0
RGI60-08.03184,1315.1182861328125,1527.5092,992.9444,0.251,"0    23.4
Name: Slope, dtype: object",69.477,0
RGI60-08.03185,1248.3587646484375,1492.2717,922.67267,0.197,"0    36.3
Name: Slope, dtype: object",69.42,0
RGI60-08.03186,1045.61572265625,1352.7104,725.6113,0.188,"0    23.8
Name: Slope, dtype: object",69.512,0
RGI60-08.03187,1226.88623046875,1508.9401,796.6885,0.17,"0    37.9
Name: Slope, dtype: object",69.502,0
RGI60-08.03188,1460.6678466796875,1714.5295,1119.0151,0.6,"0    22.1
Name: Slope, dtype: object",69.485,0
RGI60-08.03189,1390.7691650390625,1492.1327,1134.1255,0.226,"0    19
Name: Slope, dtype: object",69.421,0
RGI60-08.03190,1375.802734375,1464.5839,1165.6888,0.113,"0    13.6
Name: Slope, dtype: object",69.419,0
RGI60-08.03191,1254.3270263671875,1598.1095,771.4963,0.068,"0    40.6
Name: Slope, dtype: object",69.473,0
RGI60-08.03192,1306.65283203125,1673.9902,881.197,0.984,"0    22.6
Name: Slope, dtype: object",69.515,0
RGI60-08.03193,1108.0277099609375,1647.2665,571.667,0.29,"0    31.9
Name: Slope, dtype: object",69.474,0
RGI60-08.03194,1208.57666015625,1460.2896,789.9759,0.13,"0    38.7
Name: Slope, dtype: object",69.476,0
RGI60-08.03195,1014.5249633789062,1671.2352,395.6733,4.292,"0    13.2
Name: Slope, dtype: object",69.454,0
RGI60-08.03196,1081.5699462890625,1205.4529,879.414,0.111,"0    27.7
Name: Slope, dtype: object",69.564,0
RGI60-08.03197,1138.5208740234375,1411.2081,716.7251,0.229,"0    34.3
Name: Slope, dtype: object",69.525,0
RGI60-08.03198,1044.082275390625,1344.7991,778.14777,0.152,"0    22.8
Name: Slope, dtype: object",69.416,0
RGI60-08.03199,741.9434204101562,1488.4335,373.68884,0.634,"0    20.9
Name: Slope, dtype: object",69.478,0
RGI60-08.03200,1250.281005859375,1814.298,474.4213,2.284,"0    23
Name: Slope, dtype: object",69.485,0
RGI60-08.03201,1136.3489990234375,1483.4794,880.45435,0.274,"0    24.4
Name: Slope, dtype: object",69.428,0
RGI60-08.03202,808.6336669921875,1125.2635,452.98587,0.189,"0    29.3
Name: Slope, dtype: object",69.485,0
RGI60-08.03203,1101.0164794921875,1400.8901,744.33374,0.106,"0    33.6
Name: Slope, dtype: object",69.413,0
RGI60-08.03204,1302.6673583984375,1396.8076,1004.1987,0.17,"0    13.3
Name: Slope, dtype: object",69.504,0
RGI60-08.03205,1360.812255859375,1814.555,675.9837,1.995,"0    19.4
Name: Slope, dtype: object",69.465,0
RGI60-08.03206,1485.23291015625,1814.6921,762.22534,0.563,"0    22.6
Name: Slope, dtype: object",69.474,0
RGI60-08.03207,1185.36328125,1474.5779,914.44696,0.148,"0    31.2
Name: Slope, dtype: object",69.416,0
RGI60-08.03208,1086.119384765625,1253.0677,858.06836,0.066,"0    25.9
Name: Slope, dtype: object",69.528,0
RGI60-08.03209,956.46435546875,1745.2279,385.59537,2.312,"0    15.2
Name: Slope, dtype: object",69.469,0
RGI60-08.03210,979.8832397460938,1498.3223,636.0155,0.433,"0    26.2
Name: Slope, dtype: object",69.556,0
RGI60-08.03211,1321.3760986328125,1506.3408,1031.323,0.076,"0    35.8
Name: Slope, dtype: object",69.497,0
RGI60-08.03212,1576.4599609375,1814.9814,879.76483,0.436,"0    29.8
Name: Slope, dtype: object",69.468,0
RGI60-08.03213,1044.2392578125,1366.9972,815.7954,0.17,"0    28
Name: Slope, dtype: object",69.432,0
RGI60-08.03214,1140.02783203125,1497.378,753.3784,0.189,"0    32
Name: Slope, dtype: object",69.507,0
RGI60-08.03215,1168.7535400390625,1710.3738,387.11386,1.495,"0    27.4
Name: Slope, dtype: object",69.471,0
RGI60-08.03216,906.1827392578125,1252.6923,689.30035,0.059,"0    29.6
Name: Slope, dtype: object",69.421,0
RGI60-08.03217,1302.03076171875,1711.0994,637.6624,1.323,"0    24.6
Name: Slope, dtype: object",69.465,0
RGI60-08.03218,1317.8018798828125,1711.1199,643.6997,2.257,"0    22.5
Name: Slope, dtype: object",69.464,0
RGI60-08.03219,1045.5576171875,1277.7655,818.865,0.167,"0    24.9
Name: Slope, dtype: object",69.534,0
RGI60-08.03220,1216.027587890625,1519.0746,870.4714,0.27,"0    24.4
Name: Slope, dtype: object",69.423,0
RGI60-08.03221,1201.9842529296875,1377.2252,985.528,0.125,"0    25.5
Name: Slope, dtype: object",62.314,0
RGI60-08.03222,1011.37158203125,1365.9686,571.5865,0.15,"0    35.9
Name: Slope, dtype: object",62.316,0
RGI60-08.03223,1128.264404296875,1299.0424,984.24866,0.053,"0    28.4
Name: Slope, dtype: object",62.313,0
RGI60-08.03224,1227.28271484375,1368.8577,1047.1691,0.033,"0    23.3
Name: Slope, dtype: object",62.313,0
RGI60-08.03225,1116.4808349609375,1334.9564,963.8445,0.014,"0    38.5
Name: Slope, dtype: object",62.32,0
RGI60-08.03226,1017.4906005859375,1297.6227,849.54144,0.047,"0    31.5
Name: Slope, dtype: object",62.312,0
RGI60-08.03227,1031.0128173828125,1413.1508,445.14667,0.306,"0    30.5
Name: Slope, dtype: object",62.297,0
RGI60-08.03228,1209.5252685546875,1483.3573,908.80383,0.242,"0    22.8
Name: Slope, dtype: object",62.272,0
RGI60-08.03229,976.3718872070312,1106.5033,861.1651,0.084,"0    14.4
Name: Slope, dtype: object",65.749,0
RGI60-08.03230,1209.12158203125,1349.3933,1108.1635,0.117,"0    17.3
Name: Slope, dtype: object",65.776,0
RGI60-08.03231,1312.6702880859375,1536.215,1036.71,0.164,"0    33.1
Name: Slope, dtype: object",65.776,0
RGI60-08.03232,1129.7208251953125,1373.0164,768.4266,0.516,"0    26.1
Name: Slope, dtype: object",65.777,0
RGI60-08.03233,1022.26611328125,1186.3491,717.1138,0.105,"0    19.5
Name: Slope, dtype: object",65.76,0
RGI60-08.03234,1018.3416137695312,1196.6443,895.2011,0.064,"0    15.7
Name: Slope, dtype: object",65.745,0
RGI60-08.03235,908.958984375,1230.858,788.029,0.11,"0    26.6
Name: Slope, dtype: object",65.766,0
RGI60-08.03236,1083.2891845703125,1187.4542,906.43414,0.182,"0    16.6
Name: Slope, dtype: object",65.754,0
RGI60-08.03237,1146.375244140625,1371.8927,1005.96,0.192,"0    25.5
Name: Slope, dtype: object",65.775,0
RGI60-08.03238,1229.6619873046875,1335.204,999.5108,0.08,"0    24.7
Name: Slope, dtype: object",65.767,0
RGI60-08.03239,1267.11572265625,1495.8009,1077.9413,0.173,"0    26.6
Name: Slope, dtype: object",65.769,0
RGI60-08.03240,844.9256591796875,955.9128,626.03326,0.046,"0    25.5
Name: Slope, dtype: object",69.675,0
RGI60-08.03241,719.0521240234375,941.2744,417.59317,0.425,"0    22.5
Name: Slope, dtype: object",69.724,0
RGI60-08.03242,716.023193359375,870.7172,441.7377,0.128,"0    21.7
Name: Slope, dtype: object",69.724,0
RGI60-08.03243,806.6151733398438,940.6887,695.42096,0.031,"0    17.7
Name: Slope, dtype: object",69.724,0
RGI60-08.03244,723.8832397460938,864.40076,569.34143,0.052,"0    31.3
Name: Slope, dtype: object",69.721,0
RGI60-08.03245,605.2999877929688,792.4311,365.40186,0.027,"0    42
Name: Slope, dtype: object",69.729,0
RGI60-08.03246,684.6469116210938,886.5621,466.17654,0.043,"0    28.5
Name: Slope, dtype: object",69.64,0
RGI60-08.03247,995.3543090820312,1299.9404,801.1344,1.062,"0    12.7
Name: Slope, dtype: object",68.553,0
RGI60-08.03248,1215.1065673828125,1388.6409,995.6398,0.114,"0    22.8
Name: Slope, dtype: object",68.561,0
RGI60-08.03249,1753.052734375,1828.6084,1657.8002,0.04,"0    26.7
Name: Slope, dtype: object",62.318,0
RGI60-08.03250,1533.9497847919656,1581.0,1435.0,0.051,"0    5.8
Name: Slope, dtype: object",59.747,0
RGI60-08.03251,966.4496459960938,1103.3273,794.4396,0.113,"0    28.4
Name: Slope, dtype: object",69.431,0
RGI60-08.03252,1259.9718017578125,1426.4725,1046.7827,0.038,"0    43.5
Name: Slope, dtype: object",61.468,0
RGI60-08.03253,1113.948974609375,1175.1398,987.59314,0.011,"0    22.3
Name: Slope, dtype: object",62.858,0
RGI60-08.03254,1072.6507568359375,1203.8043,943.7952,0.046,"0    36.3
Name: Slope, dtype: object",69.352,0
RGI60-08.03255,1138.6790771484375,1521.8146,919.6453,0.038,"0    41.4
Name: Slope, dtype: object",62.459,0
RGI60-08.03256,1657.75341796875,1815.9448,1499.0468,0.087,"0    24.3
Name: Slope, dtype: object",62.37,0
RGI60-08.03257,1111.03466796875,1332.2235,985.805,0.071,"0    15.7
Name: Slope, dtype: object",65.747,0
RGI60-08.03258,1596.6484375,1764.1006,1451.719,0.15,"0    16.2
Name: Slope, dtype: object",60.581,0
RGI60-08.03259,1438.1783029001074,1559.0,1260.0,0.217,"0    21
Name: Slope, dtype: object",59.763,0
RGI60-08.03260,940.050048828125,1082.7167,737.3102,0.086,"0    19
Name: Slope, dtype: object",65.248,0
RGI60-08.03261,2022.6043701171875,2177.924,1801.4689,0.111,"0    25.4
Name: Slope, dtype: object",61.612,0
RGI60-08.03262,1107.7850341796875,1186.6243,1012.1687,0.212,"0    5.4
Name: Slope, dtype: object",68.601,0
RGI60-08.03263,1118.995361328125,1256.1747,988.56415,0.063,"0    23.3
Name: Slope, dtype: object",68.03,0
RGI60-08.03264,1408.4801025390625,1550.6665,1214.2489,0.064,"0    19.5
Name: Slope, dtype: object",62.856,0
RGI60-08.03265,1598.2198486328125,1696.7067,1465.7273,0.067,"0    17.4
Name: Slope, dtype: object",62.311,0
RGI60-08.03266,956.4906005859375,1294.1664,537.7469,0.683,"0    18.8
Name: Slope, dtype: object",67.017,0
RGI60-08.03267,1240.878662109375,1393.2753,1052.3436,0.062,"0    27.8
Name: Slope, dtype: object",68.563,0
RGI60-08.03268,1076.748779296875,1181.9418,844.31177,0.143,"0    21.4
Name: Slope, dtype: object",68.596,0
RGI60-08.03269,1580.0969937606353,1641.0,1534.0,0.057,"0    11.2
Name: Slope, dtype: object",59.787,0
RGI60-08.03270,1566.5221688034187,1611.0,1505.0,0.136,"0    7.8
Name: Slope, dtype: object",59.755,0
RGI60-08.03271,942.6758422851562,1139.1196,814.3401,0.021,"0    28.7
Name: Slope, dtype: object",68.304,0
RGI60-08.03272,1610.0169677734375,1703.9856,1513.3502,0.04,"0    23.2
Name: Slope, dtype: object",62.313,0
RGI60-08.03273,1156.3702392578125,1320.247,982.0189,0.117,"0    23.6
Name: Slope, dtype: object",65.253,0
RGI60-08.03274,1139.510498046875,1348.4464,949.0658,0.181,"0    23
Name: Slope, dtype: object",68.646,0
RGI60-08.03275,1553.2127525252524,1605.0,1364.0,0.188,"0    8.5
Name: Slope, dtype: object",59.746,0
RGI60-08.03276,1617.8865966796875,1748.942,1405.3857,0.083,"0    27.4
Name: Slope, dtype: object",62.104,0
RGI60-08.03277,1785.4783935546875,1852.6315,1696.2222,0.033,"0    13.4
Name: Slope, dtype: object",62.328,0
RGI60-08.03278,1076.2413330078125,1314.8145,725.00037,0.565,"0    26.4
Name: Slope, dtype: object",67.002,0
RGI60-08.03279,1766.5748291015625,1856.5244,1665.6573,0.061,"0    12.9
Name: Slope, dtype: object",62.297,0
RGI60-08.03280,1275.726806640625,1358.2205,1185.6567,0.118,"0    8.800000000000001
Name: Slope, dtype: object",68.579,0
RGI60-08.03281,1508.8997477931905,1602.0,1347.0,0.169,"0    15.5
Name: Slope, dtype: object",59.785,0
RGI60-08.03282,1049.5797119140625,1260.4373,780.4394,0.24,"0    26.9
Name: Slope, dtype: object",69.455,0
RGI60-08.03283,1860.306884765625,2003.0951,1698.6554,0.055,"0    27.2
Name: Slope, dtype: object",61.765,0
RGI60-08.03284,1105.930419921875,1168.2654,982.3164,0.234,"0    8.6
Name: Slope, dtype: object",68.568,0
RGI60-08.03285,1076.9580078125,1287.5669,840.7238,0.272,"0    29.8
Name: Slope, dtype: object",68.653,0
RGI60-08.03286,1250.6258544921875,1496.1202,1033.7599,0.317,"0    21.5
Name: Slope, dtype: object",62.474,0
RGI60-08.03287,973.6539306640625,1290.351,684.72046,0.224,"0    41.1
Name: Slope, dtype: object",61.426,0
RGI60-08.03288,896.283447265625,1020.5693,703.79626,0.061,"0    20.5
Name: Slope, dtype: object",65.282,0
RGI60-08.03289,1101.7501220703125,1159.231,994.77466,0.115,"0    4.3
Name: Slope, dtype: object",66.376,0
RGI60-08.03290,635.6931762695312,970.1456,391.41092,0.075,"0    33.4
Name: Slope, dtype: object",70.283,0
RGI60-08.03291,1206.1531982421875,1302.398,1121.2504,0.065,"0    14.4
Name: Slope, dtype: object",65.484,0
RGI60-08.03292,1077.8526611328125,1192.4711,841.9231,0.31,"0    13.6
Name: Slope, dtype: object",66.372,0
RGI60-08.03293,943.6358642578125,1147.4092,707.90735,0.311,"0    23.3
Name: Slope, dtype: object",69.506,0
RGI60-08.03294,1556.999267578125,1698.1307,1460.1272,0.034,"0    24.9
Name: Slope, dtype: object",62.304,0
RGI60-08.03295,1092.0059814453125,1212.099,967.21924,0.051,"0    29.9
Name: Slope, dtype: object",66.995,0
RGI60-08.03296,1215.90869140625,1291.3684,1123.2279,0.066,"0    13.6
Name: Slope, dtype: object",68.046,0
RGI60-08.03297,1213.72021484375,1390.3722,1012.9701,0.039,"0    34.1
Name: Slope, dtype: object",61.956,0
RGI60-08.03298,995.1771240234375,1076.6323,916.1893,0.066,"0    10.3
Name: Slope, dtype: object",66.381,0
RGI60-08.03299,1536.9618891746552,1605.0,1269.0,1.366,"0    7
Name: Slope, dtype: object",59.75,0
RGI60-08.03300,1281.505126953125,1366.2266,1161.873,0.196,"0    11.9
Name: Slope, dtype: object",65.737,0
RGI60-08.03301,1411.0948509485095,1489.0,1337.0,0.051,"0    16.2
Name: Slope, dtype: object",59.527,0
RGI60-08.03302,1361.2330322265625,1650.7297,1175.0969,0.546,"0    21.6
Name: Slope, dtype: object",67.16,0
