RGI_ID,zmed,zmax,zmin,area,slope,lat,icecap,ID
RGI60-08.01913,893.0,942.0,862.0,0.063,17.3,68.607,0,RGI60-08.01913
RGI60-08.01914,1051.0,1122.0,989.0,0.108,26.1,68.911,0,RGI60-08.01914
RGI60-08.01915,1274.0,1315.0,1235.0,0.119,12.3,68.554,0,RGI60-08.01915
RGI60-08.01916,1103.0,1243.0,1055.0,0.095,21.5,68.866,0,RGI60-08.01916
RGI60-08.01917,1171.0,1272.0,1118.0,0.126,25.0,68.627,0,RGI60-08.01917
RGI60-08.01918,1421.0,1479.0,1265.0,0.334,17.9,68.811,0,RGI60-08.01918
RGI60-08.01919,1127.0,1290.0,1064.0,0.15,18.4,68.62,0,RGI60-08.01919
RGI60-08.01920,1302.0,1341.0,1220.0,0.198,18.7,68.754,0,RGI60-08.01920
RGI60-08.01921,980.0,1114.0,913.0,0.307,19.7,68.82,0,RGI60-08.01921
RGI60-08.01922,1344.0,1381.0,1287.0,0.096,15.5,68.617,0,RGI60-08.01922
RGI60-08.01923,1162.0,1386.0,1062.0,0.173,29.9,68.884,0,RGI60-08.01923
RGI60-08.01924,1326.0,1387.0,1195.0,0.125,24.0,68.61,0,RGI60-08.01924
RGI60-08.01925,1263.0,1323.0,1194.0,0.195,15.6,68.59,0,RGI60-08.01925
RGI60-08.01926,1159.0,1212.0,1073.0,0.127,23.1,68.761,0,RGI60-08.01926
RGI60-08.01927,1080.0,1170.0,930.0,0.139,29.6,68.949,0,RGI60-08.01927
RGI60-08.01928,1329.0,1516.0,1141.0,0.325,23.3,68.574,0,RGI60-08.01928
RGI60-08.01929,1223.0,1441.0,1148.0,0.204,24.8,68.612,0,RGI60-08.01929
RGI60-08.01930,1103.0,1216.0,1010.0,0.146,32.7,68.9,0,RGI60-08.01930
RGI60-08.01931,1136.0,1200.0,1068.0,0.068,26.2,68.634,0,RGI60-08.01931
RGI60-08.01932,1040.0,1121.0,939.0,0.142,24.7,68.953,0,RGI60-08.01932
RGI60-08.01933,1288.0,1413.0,1193.0,0.096,23.0,68.575,0,RGI60-08.01933
RGI60-08.01934,1262.0,1369.0,1081.0,0.158,23.7,68.944,0,RGI60-08.01934
RGI60-08.01935,1182.0,1285.0,1068.0,0.226,25.8,68.896,0,RGI60-08.01935
