rgi_id,period,PDD,area,icecap,lat,lon,prcp_01,prcp_02,prcp_03,prcp_04,prcp_05,prcp_06,prcp_07,prcp_08,prcp_09,prcp_10,prcp_11,prcp_12,rain,slope,snow,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,zmax,zmed,zmin,dmdtda,err_dmdtda,target_id
RGI60-08.00855,2000-2010,49.772800097513205,0.754,0.0,61.752,8.174,98.155992,97.4313991,93.7275129,101.4346315,65.59046620000001,63.041432,44.6650774,56.9903014,63.2108032,86.2003115,93.7466779,85.7424565,501.349073,9.1,448.587976,2.414666502952576,-2.5853337116241453,-5.668668968200683,-6.132000858306884,-6.368666965484619,-4.238667280197143,0.8046664648056033,5.477999924898148,9.70466739463806,12.418000286102297,11.544666069030765,7.168000023841858,1923.0,1822.0,1751.0,-0.3601,0.2903,1708.0
RGI60-08.00855,2010-2020,48.80680011873245,0.754,0.0,61.752,8.174,95.760616,83.80287,97.767036,78.08340510000001,59.111968000000005,67.7040016,44.6198694,54.3258446,73.2508712,82.3320552,106.0101591,92.7691829,527.992855,9.1,407.545045,2.374666499376297,-2.665333730697632,-6.048668939590454,-7.662000591278075,-6.398666936874389,-3.8186670131683353,0.4146665267944338,5.40799999165535,9.514667289733888,12.13800026702881,11.264666049957276,7.378000109672547,1923.0,1822.0,1751.0,-0.2904,0.311,1709.0
RGI60-08.00284,2000-2010,50.19811287820339,1.036,0.0,66.546,14.497,177.556147,195.367397,198.264223,195.481022,148.50298089999998,118.247294,87.3766599,100.1395415,98.0010509,99.7498823,127.6880356,204.021126,1003.597645,12.7,746.797721,3.175555571913719,-0.3381482124328613,-2.880741238594056,-3.1218522071838377,-4.30222225189209,-3.348888397216797,0.9414817333221436,5.075555562973023,8.828889083862304,12.234815692901613,11.557778024673462,7.490000247955322,1277.0,1151.0,1070.0,-1.0001,0.3354,566.0
RGI60-08.00284,2010-2020,50.03955700397491,1.036,0.0,66.546,14.497,194.9734846,157.806579,212.3473128,139.82591414,133.9782203,151.61126800000002,112.1799635,78.5713789,104.7220738,94.7967055,118.1926086,149.8281827,914.565914,12.7,734.267775,3.1211111664772035,-0.1881482362747192,-3.136296772956848,-4.898518848419189,-4.122222185134888,-2.8133327960968018,0.5670372605323791,5.247777771949768,8.463333415985108,11.96370439529419,11.34444456100464,8.235555839538574,1277.0,1151.0,1070.0,0.1495,0.2808,567.0
RGI60-08.01518,2000-2010,40.30204658303261,0.05,0.0,66.79,14.553,171.0175775,183.7191865,187.7989429,183.491316,141.239106,112.3928696,84.7214171,99.2958304,97.9082281,99.3967534,122.2686682,198.533277,843.731141,9.6,838.0520490000001,1.7308888680934906,-1.8068892889022827,-4.168,-4.475778310775757,-5.676889722824097,-4.911332576751709,-0.6391108207702637,3.52422252368927,7.373111373901368,10.870889598846436,10.212000400543214,6.0086671657562265,1036.0,1019.0,996.0,0.2634,0.5135,3034.0
RGI60-08.01518,2010-2020,40.07106931116581,0.05,0.0,66.79,14.553,187.231212,149.4706836,199.0163093,131.77574552000002,125.5811842,147.385816,108.6067062,76.9284031,103.7555705,94.607944,113.3737084,140.560311,741.690295,9.6,836.6033,1.6508888937234878,-1.6268892221450806,-4.471333353996277,-6.282444971084594,-5.4535562210083,-4.334665816307068,-0.975777464389801,3.707555849075317,6.976444704055787,10.577556402206422,9.96200054359436,6.762000662803651,1036.0,1019.0,996.0,-0.1052999999999999,0.4968,3035.0
RGI60-08.00702,2000-2010,34.23128706302642,0.098,0.0,60.015,6.953999999999999,160.13673039999998,134.72001640000002,138.5600792,138.7156615,92.7219102,81.7618594,56.93987130000001,67.4666888,79.8952703,107.2565806,130.1540655,128.512993,651.5773419999999,9.6,665.2643869999999,1.3483704428672791,-3.200518443107605,-5.444963218688965,-5.83866639328003,-6.664222576141358,-5.75014784526825,-1.7431111831665038,2.446148190975189,6.493184183120727,9.27429599571228,8.98911132621765,5.372073219299316,1525.0,1487.0,1433.0,-0.2342,0.3787,1402.0
RGI60-08.00702,2010-2020,33.06350943681001,0.098,0.0,60.015,6.953999999999999,146.9573458,119.12999829999998,143.2518258,107.7236195,83.7529538,80.67269710000001,50.8550894,66.83417349999999,89.2086757,96.6905475,155.449233,154.58758849999998,684.424204,9.6,610.689529,1.2683704789280892,-3.219407250404358,-5.7282965917587285,-7.22755537223816,-6.87755594444275,-5.285703470230103,-2.103111197471619,2.2883704822063446,6.344295309066772,9.032073877334597,8.606888912200926,5.443184469223022,1525.0,1487.0,1433.0,-0.1344,0.3619,1403.0
RGI60-08.02800,2000-2010,48.067889933109285,0.746,0.0,62.49,7.715000000000001,130.91520459999998,148.6829596,161.190348,162.5721001,111.321404,99.572341,68.7107972,61.897046,63.684963800000006,87.7836075,103.6969377,122.42326,654.010621,20.4,668.440338,2.988222211360932,-1.309556240081787,-4.205110591888428,-4.248445362091064,-4.717333263397217,-3.141778582572937,1.1115555105209352,5.367111354827881,8.813778835296631,11.512666135787963,10.934889322280885,7.03600009059906,1641.0,1315.0,1205.0,-1.033,0.3432,5598.0
RGI60-08.02800,2010-2020,47.06051206841469,0.746,0.0,62.49,7.715000000000001,133.74776839999998,121.116916,169.28207500000002,115.8542275,95.452978,115.2154428,72.9836763,57.47934769999999,75.82917549999999,87.6603701,116.9606498,125.897989,664.768101,20.4,622.7125060000001,2.9615555284023287,-1.3795562925338745,-4.578444069862366,-5.715111917495728,-4.703999823570252,-2.741778606414795,0.6815555033683778,5.310444694519044,8.627112203598022,11.232666164398193,10.648222595214843,7.275999933242798,1641.0,1315.0,1205.0,-1.452,0.3872,5599.0
