rgi_id,period,PDD,area,icecap,lat,lon,prcp_01,prcp_02,prcp_03,prcp_04,prcp_05,prcp_06,prcp_07,prcp_08,prcp_09,prcp_10,prcp_11,prcp_12,rain,slope,snow,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,zmax,zmed,zmin,dmdtda,err_dmdtda,target_id
RGI60-08.00001,2000-2010,39.78700089406967,0.03,0.0,67.93,33.83,59.556398,42.393607200000005,49.4640676,40.7078379,28.460900199999998,32.9465573,37.1549568,54.339024800000004,50.8646703,82.8167162,67.0434111,66.45765420000001,351.836677,5.8,260.36912500000005,0.2551111187934876,-5.823777547836304,-9.09377876853943,-11.355999198913574,-13.012668529510497,-8.62711044883728,-2.821555284023285,2.367333349227905,8.099554523468017,12.371778854370117,10.28399990463257,5.725111993789673,250.0,242.0,235.0,-0.4587719762258563,0.4491202674591369,0.0
RGI60-08.00001,2010-2020,41.83360106811524,0.03,0.0,67.93,33.83,57.685775,45.119088899999994,49.8489625,37.706104499999995,33.1202698,41.7401373,36.3594932,51.021731599999995,79.17525520000001,77.98871410000001,70.2294582,62.890582499999994,369.469923,5.8,273.415647,-0.09488895273208613,-4.927110925674439,-9.203778902053832,-13.025999179840088,-12.062668910980225,-7.953777233123779,-2.12155522441864,3.7206667151451107,8.276221450805664,12.368445667266846,10.453999790191649,6.561778577804565,250.0,242.0,235.0,-0.3562499554234775,0.4352932243684985,1.0
RGI60-08.00002,2000-2010,44.90720023722648,0.03,0.0,67.87,33.5,62.0824971,43.6778732,49.4321915,41.3133216,28.519503099999998,32.1530492,36.493228599999995,53.1690916,50.162671,83.3633045,65.9914148,67.91261039999999,364.28785400000004,5.7,249.982907,1.088963008955121,-4.909555295944214,-8.32770448112488,-10.626962474823,-12.13363161468506,-7.763628915786744,-1.9365921773910522,3.3304444513320925,9.070814128875732,13.313037773132326,11.18007335281372,6.58044528579712,246.0,239.0,228.0,-0.4587719762258563,0.4491202674591369,2.0
RGI60-08.00002,2010-2020,46.98022284007072,0.03,0.0,67.87,33.5,59.3456848,45.8451661,49.957570600000004,37.6444657,32.5774094,40.6740793,35.4148717,49.130548700000006,77.490539,77.3695957,68.9001567,64.1313797,395.332398,5.7,243.149082,0.7567407450675965,-4.062888554573059,-8.424371103286743,-12.28251791381836,-11.188075832366945,-7.055851177215575,-1.2577033200263976,4.659333368301391,9.219703289031981,13.33414888000488,11.29674005126953,7.428223081588745,246.0,239.0,228.0,-0.3562499554234775,0.4352932243684985,3.0
RGI60-08.00003,2000-2010,35.33720148439407,0.02,0.0,67.82,33.75,60.485810300000004,45.6008629,55.0594637,46.8422544,33.7967129,38.831589300000005,43.8444575,63.4901834,56.49809309999999,88.6273176,71.01001269999999,68.45967590000001,368.211862,18.8,304.334566,-0.5726667723655702,-6.755999799728395,-10.029334112167358,-12.37266482925415,-14.036003299713133,-9.759332223892212,-3.9559994659423827,1.440666721105576,7.263999322891236,11.637334732055663,9.55066624069214,4.90400114440918,749.0,726.0,701.0,-0.4587719762258563,0.4491202674591369,4.0
RGI60-08.00003,2010-2020,37.607801528739934,0.02,0.0,67.82,33.75,58.98940760000001,48.1280804,55.0880635,43.0415005,38.9477393,49.2241,43.5066059,59.470777999999996,87.3865595,84.42540360000001,74.7473815,64.9425286,384.551216,18.8,323.346941,-0.9226668558120729,-5.855999752044678,-10.139334197998046,-14.042664905548097,-13.096003337860106,-9.08933209991455,-3.255999465942383,2.790666703224182,7.44399948501587,11.637334827423096,9.730666259765625,5.734000972747802,749.0,726.0,701.0,-0.3562499554234775,0.4352932243684985,5.0
RGI60-08.00004,2000-2010,34.39946815710068,0.02,0.0,67.83,33.77,60.485810300000004,45.6008629,55.0594637,46.8422544,33.7967129,38.831589300000005,43.8444575,63.4901834,56.49809309999999,88.6273176,71.01001269999999,68.45967590000001,361.98911499999997,20.1,310.557319,-0.75266677236557,-6.935999799728394,-10.209334112167358,-12.552664829254152,-14.216003299713137,-9.939332223892212,-4.135999465942382,1.2606667211055755,7.083999322891235,11.457334732055664,9.370666240692138,4.72400114440918,725.0,696.0,671.0,-0.4587719762258563,0.4491202674591369,6.0
RGI60-08.00004,2010-2020,36.688068201446534,0.02,0.0,67.83,33.77,58.98940760000001,48.1280804,55.0880635,43.0415005,38.9477393,49.2241,43.5066059,59.470777999999996,87.3865595,84.42540360000001,74.7473815,64.9425286,376.774816,20.1,331.12334,-1.1026668558120727,-6.0359997520446775,-10.319334197998048,-14.222664905548097,-13.276003337860109,-9.269332099914552,-3.4359994659423827,2.610666703224182,7.2639994850158685,11.457334827423095,9.550666259765624,5.554000972747803,725.0,696.0,671.0,-0.3562499554234775,0.4352932243684985,7.0
RGI60-08.00005,2000-2010,40.386799293446536,21.469,0.0,67.139,16.345,77.2164914,83.4070942,88.4221952,86.5597351,73.3948654,55.9765259,46.9211218,65.8122292,72.2432491,88.1743148,82.09308949999999,103.7587897,469.981816,8.5,453.997876,0.5684444704055788,-5.108221908569336,-8.788963933944704,-10.101185413360596,-10.560074420928956,-7.992665859222413,-2.010814901351929,3.025851900219917,8.247332767486572,11.818073467254639,10.527704051971435,5.71103706741333,1807.0,1268.0,926.0,-0.7824,0.2694,8.0
RGI60-08.00005,2010-2020,40.72808786280155,21.469,0.0,67.139,16.345,81.9497396,70.8610848,90.9555775,63.4529492,62.884477219999994,78.72225540000001,57.9641152,49.8629911,76.3051456,84.3286669,75.78134730000001,65.5016545,419.78533600000003,8.5,438.78466099999997,0.5106666722297669,-4.84711083984375,-8.952297206878661,-11.853407569885254,-10.414518877029419,-7.465999217987061,-2.179703827857971,3.3980741091966626,7.922888330459594,11.678073219299316,10.338815073013304,6.631037119865418,1807.0,1268.0,926.0,-0.4767,0.24359999999999998,9.0
